Model;Scenario;Region;Variable;Unit;2015;2020;2030;2040;2050;2060;2070;2080;2090;2100;Notes
AIM/CGE;SSP3-70 (Baseline);World;CMIP6 Emissions|CO2;Mt CO2/yr;39148,758;44808,038;52847,359;58497,970;62904,059;66568,368;70041,979;73405,226;77799,049;82725,833;
AIM/CGE;SSP3-LowNTCF;World;CMIP6 Emissions|CO2;Mt CO2/yr;39148,758;44844,692;53046,209;59111,770;63754,723;68187,410;72401,349;76582,423;80950,528;85832,692;
GCAM4;SSP4-34;World;CMIP6 Emissions|CO2;Mt CO2/yr;39152,726;39076,320;34459,299;27739,109;19838,768;15055,823;10855,737;3714,680;-5959,377;-14816,945;
GCAM4;SSP4-60;World;CMIP6 Emissions|CO2;Mt CO2/yr;39152,726;39076,322;45167,913;48142,925;48377,867;47264,541;44673,580;37400,440;29631,147;21925,010;
IMAGE;SSP1-19;World;CMIP6 Emissions|CO2;Mt CO2/yr;39152,726;39693,726;22847,271;10475,089;2050,362;-1525,978;-4476,970;-7308,783;-10565,023;-13889,788;
IMAGE;SSP1-26;World;CMIP6 Emissions|CO2;Mt CO2/yr;39152,726;39804,013;34734,424;26509,183;17963,539;10527,979;4476,328;-3285,043;-8385,183;-8617,786;
MESSAGE-GLOBIOM;SSP2-45;World;CMIP6 Emissions|CO2;Mt CO2/yr;39148,758;40647,530;43476,063;44252,900;43462,190;40196,485;35235,434;26838,373;16324,392;9682,859;
REMIND-MAGPIE;SSP5-34-OS;World;CMIP6 Emissions|CO2;Mt CO2/yr;39152,726;43712,629;55300,017;68774,628;50319,095;16582,668;-5768,062;-14855,333;-18556,245;-20311,382;
REMIND-MAGPIE;SSP5-85 (Baseline);World;CMIP6 Emissions|CO2;Mt CO2/yr;39152,726;43712,349;55296,583;68775,698;83298,220;100338,606;116805,249;129647,035;130576,239;126287,310;
Model;Scenario (History);Region;Variable;Unit;1990;1995;2000;2005;2010;2012;2014;2015;;;
History;van Marle et al. (2017) & Hoesly et al. (2018);World;CMIP6 Emissions|CO2;Mt CO2/yr;27962,868;28811,292;29658,679;33413,896;36131,477;37951,325;39628,028;39152,726;;;
" © SSP Public Database (Version 2.0) https://tntcat.iiasa.ac.at/SspDb 
 generated: 2023-03-06 10:20:35";;;;;;;;;;;;;;;
For recommended citation please follow this link: https://tntcat.iiasa.ac.at/SspDb/dsd?Action=htmlpage&page=citation;;;;;;;;;;;;;;;
